                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6966,                 1.8691,                 1.0141,                0.27749,                0.18841,                0.16769,                0.09209,                 1.5534,                 1.2666,                0.94248,              0.0033251,              0.0033251,              0.0033251
                      2,                 1.6196,                 1.3092,                0.95664,                0.27274,                0.21446,                0.18497,                0.10081,                 1.6019,                  1.247,                0.93908,              0.0065925,              0.0065925,              0.0065925
                      3,                 1.6618,                 1.3019,                0.95651,                0.29711,                 0.2246,                0.19627,                0.10989,                  1.592,                 1.2431,                0.93495,              0.0097939,              0.0097939,              0.0097939
                      4,                 1.6466,                 1.2768,                0.95201,                0.32354,                0.23481,                0.21617,                0.11922,                 1.5339,                 1.2233,                0.93349,               0.009703,               0.009703,               0.009703
                      5,                 1.6035,                 1.2257,                 0.9446,                0.31108,                0.24591,                0.21981,                0.11999,                 1.5292,                  1.142,                0.92716,               0.009604,               0.009604,               0.009604
                      6,                 1.5755,                 1.1874,                0.93663,                0.34098,                 0.2483,                0.23078,                0.12863,                 1.4856,                 1.1311,                0.92428,               0.009505,               0.009505,               0.009505
                      7,                 1.5399,                 1.1609,                0.93073,                0.32489,                0.25693,                0.22874,                0.12638,                 1.4929,                 1.1204,                0.92476,               0.009406,               0.009406,               0.009406
                      8,                 1.5138,                 1.1353,                0.92666,                0.35577,                 0.2612,                0.24391,                0.13827,                 1.4468,                  1.084,                0.91391,               0.009307,               0.009307,               0.009307
                      9,                 1.5152,                 1.1262,                0.92384,                0.37089,                0.26162,                 0.2506,                0.14125,                 1.4494,                 1.0794,                 0.9123,               0.009208,               0.009208,               0.009208
                     10,                 1.4851,                 1.0961,                0.91997,                 0.3591,                0.27679,                0.26127,                0.14655,                 1.4312,                 1.0552,                 0.9109,               0.009109,               0.009109,               0.009109
                     11,                 1.4765,                 1.0857,                0.91629,                0.37006,                0.27068,                0.25612,                 0.1447,                 1.4208,                 1.0618,                 0.9102,                0.00901,                0.00901,                0.00901
                     12,                 1.4635,                 1.0779,                0.91571,                0.38249,                0.28067,                0.26726,                 0.1512,                 1.4226,                 1.0451,                 0.9072,               0.008911,               0.008911,               0.008911
                     13,                 1.4556,                  1.062,                0.91213,                0.38037,                0.27082,                0.26555,                 0.1495,                 1.4094,                 1.0462,                 0.9056,               0.008812,               0.008812,               0.008812
                     14,                 1.4441,                 1.0506,                0.91093,                0.39339,                0.28472,                0.27835,                0.15872,                 1.4001,                 1.0206,                0.90325,               0.008713,               0.008713,               0.008713
                     15,                 1.4412,                 1.0395,                0.90826,                0.38379,                0.28865,                0.27723,                0.15678,                 1.3833,                 1.0157,                0.90047,               0.008614,               0.008614,               0.008614
                     16,                 1.4365,                 1.0334,                 0.9078,                0.38734,                0.28064,                0.27106,                0.15378,                 1.3893,                 1.0286,                0.90389,               0.008515,               0.008515,               0.008515
                     17,                 1.4174,                 1.0216,                0.90386,                0.39189,                0.29669,                0.28181,                0.16089,                 1.3806,                 1.0026,                0.89996,               0.008416,               0.008416,               0.008416
                     18,                 1.4136,                  1.012,                0.90352,                0.41015,                 0.2876,                0.28742,                0.16444,                 1.3743,                 1.0008,                0.89977,               0.008317,               0.008317,               0.008317
                     19,                  1.414,                 1.0109,                 0.9027,                0.40119,                0.29091,                 0.2898,                0.16529,                 1.3638,                0.99343,                    0.9,               0.008218,               0.008218,               0.008218
                     20,                 1.3921,                0.99615,                0.90025,                0.41779,                0.29563,                0.29371,                0.16718,                 1.3644,                0.98398,                0.89826,               0.008119,               0.008119,               0.008119
                     21,                   1.39,                 0.9917,                0.89792,                0.40514,                0.29715,                0.28982,                0.16683,                 1.3534,                0.98425,                0.89435,                0.00802,                0.00802,                0.00802
                     22,                 1.3902,                0.98567,                0.89657,                0.41226,                0.29808,                0.29368,                0.16879,                 1.3448,                0.97596,                0.89382,               0.007921,               0.007921,               0.007921
                     23,                 1.3782,                0.97302,                0.89631,                0.41412,                 0.2943,                0.29397,                 0.1682,                 1.3636,                0.97916,                0.89609,               0.007822,               0.007822,               0.007822
                     24,                 1.3786,                0.97167,                0.89564,                0.41425,                0.30416,                 0.2978,                0.17211,                 1.3422,                0.97493,                0.89171,               0.007723,               0.007723,               0.007723
                     25,                 1.3716,                0.96472,                0.89536,                0.41581,                0.30426,                0.30027,                0.17323,                 1.3433,                0.96697,                 0.8933,               0.007624,               0.007624,               0.007624
                     26,                 1.3701,                0.96464,                0.89274,                0.42143,                0.30659,                0.30568,                0.17657,                 1.3351,                0.96196,                0.89129,               0.007525,               0.007525,               0.007525
                     27,                 1.3688,                0.95804,                0.89271,                0.42121,                0.30849,                0.30822,                0.17597,                 1.3373,                0.95464,                0.89013,               0.007426,               0.007426,               0.007426
                     28,                 1.3578,                0.94928,                0.89252,                0.41629,                0.31064,                0.30544,                0.17632,                 1.3235,                0.94807,                0.88925,               0.007327,               0.007327,               0.007327
                     29,                 1.3561,                0.94262,                0.88882,                0.42232,                0.30661,                0.31028,                 0.1796,                 1.3238,                0.94363,                0.88982,               0.007228,               0.007228,               0.007228
                     30,                 1.3479,                0.93846,                0.88893,                0.42531,                0.31156,                0.30729,                0.17627,                 1.3272,                0.94445,                0.89113,               0.007129,               0.007129,               0.007129
                     31,                 1.3483,                0.93544,                0.88806,                0.42552,                0.31378,                0.30867,                0.17883,                 1.3177,                0.93872,                 0.8883,                0.00703,                0.00703,                0.00703
                     32,                 1.3414,                0.92641,                0.88774,                 0.4332,                0.30872,                0.31071,                0.17908,                 1.3256,                0.94373,                0.89072,               0.006931,               0.006931,               0.006931
                     33,                 1.3304,                 0.9194,                0.88538,                0.43064,                 0.3134,                0.31312,                0.18058,                 1.3145,                0.93078,                0.88719,               0.006832,               0.006832,               0.006832
                     34,                 1.3371,                0.92419,                0.88661,                0.42995,                0.31148,                0.31324,                0.18142,                 1.3129,                0.93795,                0.88696,               0.006733,               0.006733,               0.006733
                     35,                 1.3335,                0.91905,                0.88618,                0.43379,                0.32145,                0.31759,                0.18322,                 1.3137,                0.92995,                0.88714,               0.006634,               0.006634,               0.006634
                     36,                 1.3279,                0.91003,                0.88676,                0.43794,                0.31793,                 0.3168,                0.18263,                 1.3049,                0.93086,                0.88485,               0.006535,               0.006535,               0.006535
                     37,                 1.3266,                0.91097,                0.88451,                0.42458,                0.31512,                0.31397,                0.18263,                 1.2987,                0.92911,                0.88453,               0.006436,               0.006436,               0.006436
                     38,                 1.3182,                0.90379,                 0.8825,                0.43924,                0.31958,                0.31528,                0.18378,                 1.3102,                0.92408,                0.88644,               0.006337,               0.006337,               0.006337
                     39,                 1.3201,                0.90058,                0.88293,                0.43776,                0.32224,                 0.3207,                0.18641,                 1.2959,                0.92475,                0.88323,               0.006238,               0.006238,               0.006238
                     40,                 1.3148,                0.89862,                0.88238,                 0.4382,                0.32564,                0.32188,                0.18802,                 1.2962,                0.91931,                0.88381,               0.006139,               0.006139,               0.006139
                     41,                 1.3077,                0.89195,                0.88207,                0.43694,                0.32829,                0.32232,                0.18734,                 1.2932,                0.91452,                0.88341,                0.00604,                0.00604,                0.00604
                     42,                 1.3066,                0.89178,                0.88154,                0.44629,                0.32582,                0.32671,                0.18837,                 1.2951,                0.92045,                0.88284,               0.005941,               0.005941,               0.005941
                     43,                 1.3033,                0.88354,                0.88177,                0.45045,                0.32741,                 0.3251,                0.18827,                 1.2899,                0.91073,                0.88308,               0.005842,               0.005842,               0.005842
                     44,                 1.3021,                0.88169,                 0.8788,                0.44446,                0.32959,                0.32494,                0.18861,                 1.2933,                0.90844,                0.88369,               0.005743,               0.005743,               0.005743
                     45,                  1.295,                0.87718,                0.87895,                0.44183,                0.33186,                0.32708,                0.18882,                 1.2927,                 0.9123,                0.88307,               0.005644,               0.005644,               0.005644
                     46,                 1.3011,                0.87288,                0.87919,                0.45052,                0.32166,                0.32494,                0.18843,                 1.2931,                0.91005,                0.88297,               0.005545,               0.005545,               0.005545
                     47,                 1.2937,                0.86935,                0.87841,                0.44115,                0.32855,                0.32806,                0.19058,                  1.288,                0.90911,                0.88179,               0.005446,               0.005446,               0.005446
                     48,                 1.2963,                0.86804,                0.87857,                0.44882,                0.32888,                0.32782,                 0.1887,                 1.2902,                 0.9096,                0.88263,               0.005347,               0.005347,               0.005347
