                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
1,1.8899,2.231,1.3758,0.54133,0.40438,0.4259,0.19143,1.9378,1.7261,1.3812,0.0033255,0.0033255,0.0033255
2,1.8385,1.6584,1.3186,0.51092,0.33071,0.3208,0.13662,1.9816,2.0042,1.3957,0.0066368,0.0066368,0.0066368
3,1.9696,1.8575,1.3788,0.39121,0.27658,0.24781,0.0991,2.1669,2.3588,1.5535,0.0099262,0.0099262,0.0099262
4,2.0692,1.9998,1.4491,0.32374,0.259,0.21365,0.08256,2.2217,2.2653,1.5325,0.009901,0.009901,0.009901
5,2.0318,1.9044,1.4303,0.39987,0.30568,0.28866,0.12392,2.1355,2.1537,1.5378,0.009901,0.009901,0.009901
6,2.0001,1.8216,1.424,0.38897,0.31342,0.29452,0.12199,2.0735,1.9883,1.4929,0.009868,0.009868,0.009868
7,1.9602,1.7711,1.3977,0.4123,0.34233,0.31805,0.13147,2.0775,2.0168,1.4642,0.009835,0.009835,0.009835
8,1.9375,1.7034,1.3812,0.49842,0.38651,0.38331,0.17137,1.9725,1.9165,1.4309,0.009802,0.009802,0.009802
9,1.8982,1.6761,1.3678,0.55142,0.42088,0.42287,0.20039,1.9516,1.705,1.4227,0.009769,0.009769,0.009769
10,1.8737,1.6188,1.3582,0.59413,0.41379,0.44031,0.19501,1.9405,1.7516,1.4498,0.009736,0.009736,0.009736
11,1.8612,1.5707,1.3394,0.56307,0.40844,0.43,0.19979,1.9092,1.7729,1.4202,0.009703,0.009703,0.009703
12,1.8641,1.5512,1.3369,0.63753,0.44814,0.46443,0.21286,1.9417,1.6573,1.404,0.00967,0.00967,0.00967
13,1.8215,1.4994,1.3164,0.55946,0.42895,0.45287,0.2245,1.9131,1.7228,1.4069,0.009637,0.009637,0.009637
14,1.8195,1.4658,1.3005,0.58294,0.45651,0.48197,0.22529,1.9075,1.5425,1.3609,0.009604,0.009604,0.009604
15,1.7905,1.453,1.2945,0.58789,0.48487,0.4952,0.2376,1.8848,1.564,1.3681,0.009571,0.009571,0.009571
                     16,                 1.7731,                 1.4147,                 1.2941,                0.61016,                0.48515,                0.51202,                0.24407,                 1.8814,                 1.5436,                 1.3857,               0.009538,               0.009538,               0.009538
                     17,                 1.7616,                 1.3926,                 1.2862,                0.62325,                0.48506,                0.51091,                 0.2431,                 1.8845,                 1.5276,                 1.3665,               0.009505,               0.009505,               0.009505
                     18,                 1.7487,                 1.3643,                 1.2701,                0.69585,                0.53448,                0.57299,                0.27697,                 1.8632,                 1.3955,                 1.3381,               0.009472,               0.009472,               0.009472
                     19,                 1.7484,                 1.3667,                 1.2739,                0.64163,                0.46138,                0.50651,                0.24967,                 1.8601,                 1.5407,                 1.3667,               0.009439,               0.009439,               0.009439
                     20,                 1.7294,                 1.3344,                 1.2663,                0.63176,                0.49844,                0.52592,                 0.2537,                  1.923,                  1.549,                 1.3994,               0.009406,               0.009406,               0.009406
                     21,                  1.725,                 1.3083,                 1.2592,                0.65324,                0.53244,                0.55848,                0.26893,                 1.8736,                 1.3953,                   1.34,               0.009373,               0.009373,               0.009373
                     22,                 1.7015,                 1.2934,                 1.2496,                0.64801,                0.51759,                0.55022,                0.26938,                 1.8417,                 1.4075,                 1.3294,                0.00934,                0.00934,                0.00934
                     23,                 1.7039,                 1.3063,                 1.2528,                0.67482,                0.52632,                0.56284,                0.27804,                 1.8457,                 1.3883,                 1.3494,               0.009307,               0.009307,               0.009307
                     24,                 1.6823,                  1.276,                 1.2398,                0.68255,                0.52899,                 0.5654,                0.28406,                 1.8278,                 1.3757,                  1.344,               0.009274,               0.009274,               0.009274
                     25,                 1.6795,                 1.2598,                   1.24,                0.66516,                0.48153,                0.54414,                 0.2729,                 1.8191,                 1.4871,                 1.3297,               0.009241,               0.009241,               0.009241
                     26,                 1.6741,                 1.2536,                 1.2324,                 0.6867,                0.53106,                0.56529,                0.28428,                 1.8195,                 1.3736,                 1.3299,               0.009208,               0.009208,               0.009208
                     27,                 1.6692,                 1.2319,                 1.2346,                0.68193,                0.52384,                0.56442,                0.28493,                 1.8387,                 1.3351,                 1.3454,               0.009175,               0.009175,               0.009175
                     28,                 1.6473,                 1.2139,                 1.2185,                0.68909,                0.53931,                 0.5835,                0.29731,                 1.8177,                 1.3309,                 1.3355,               0.009142,               0.009142,               0.009142
                     29,                 1.6525,                 1.2149,                 1.2246,                0.70511,                0.53596,                0.57006,                0.28664,                 1.8388,                 1.3788,                 1.3442,               0.009109,               0.009109,               0.009109
                     30,                  1.629,                 1.1817,                 1.2126,                0.69956,                 0.5566,                0.59426,                0.29965,                 1.8244,                 1.2666,                 1.3235,               0.009076,               0.009076,               0.009076
                     31,                 1.6438,                 1.1977,                  1.216,                0.69988,                0.57087,                 0.6026,                0.30757,                 1.8077,                 1.2683,                 1.3157,               0.009043,               0.009043,               0.009043
                     32,                 1.6257,                 1.1802,                 1.2089,                0.71597,                0.56008,                0.60503,                 0.3103,                 1.7913,                  1.273,                 1.3197,                0.00901,                0.00901,                0.00901
                     33,                 1.6076,                 1.1473,                 1.1977,                0.70727,                0.56292,                0.59025,                0.30483,                 1.8011,                 1.2787,                 1.3204,               0.008977,               0.008977,               0.008977
                     34,                 1.5949,                 1.1398,                 1.1934,                0.68886,                0.54387,                 0.5873,                0.29881,                 1.8037,                 1.3153,                 1.3188,               0.008944,               0.008944,               0.008944
                     35,                  1.593,                 1.1379,                 1.1994,                0.71572,                0.58567,                  0.622,                 0.3198,                 1.7865,                 1.2305,                 1.3095,               0.008911,               0.008911,               0.008911
                     36,                 1.5954,                 1.1411,                 1.1863,                0.69096,                0.55837,                0.59666,                0.30717,                 1.7887,                 1.2978,                 1.2985,               0.008878,               0.008878,               0.008878
                     37,                 1.5799,                 1.1139,                 1.1839,                0.73691,                0.57028,                0.61698,                0.32243,                 1.7764,                 1.2697,                 1.2894,               0.008845,               0.008845,               0.008845
                     38,                 1.5731,                 1.1056,                 1.1816,                0.71212,                0.57281,                0.61157,                0.31659,                 1.7961,                 1.2654,                 1.3229,               0.008812,               0.008812,               0.008812
                     39,                 1.5751,                 1.1021,                 1.1775,                0.72511,                0.58359,                0.62018,                0.32022,                 1.7674,                 1.2198,                  1.292,               0.008779,               0.008779,               0.008779
                     40,                 1.5724,                 1.1119,                 1.1797,                0.74174,                0.57481,                 0.6211,                0.32713,                  1.762,                 1.2196,                 1.2969,               0.008746,               0.008746,               0.008746
                     41,                 1.5659,                  1.098,                 1.1757,                0.72875,                0.57696,                0.62106,                0.32378,                 1.7796,                 1.2413,                 1.3025,               0.008713,               0.008713,               0.008713
                     42,                 1.5639,                 1.0891,                 1.1769,                0.72134,                0.58704,                0.62289,                0.32854,                 1.7664,                 1.1996,                 1.3005,                0.00868,                0.00868,                0.00868
                     43,                 1.5433,                 1.0635,                 1.1678,                0.73813,                0.58676,                0.62199,                0.32552,                 1.7658,                  1.206,                 1.2917,               0.008647,               0.008647,               0.008647
